"year","abbreviation","state","democratic","republican","total","fraction_democratic","fraction_republican","electoral_votes"
2016,"OR","Oregon",1002106,782403,1784509,0.561558389450544,0.438441610549456,7
2016,"PA","Pennsylvania",2926441,2970733,5897174,0.496244641925098,0.503755358074902,20
2016,"RI","Rhode Island",252525,180543,433068,0.583107040926598,0.416892959073402,4
2016,"SC","South Carolina",855373,1155389,2010762,0.42539743639476,0.57460256360524,9
2016,"SD","South Dakota",117458,227721,345179,0.340281419205687,0.659718580794313,3
2016,"TN","Tennessee",870695,1522925,2393620,0.36375656954738,0.63624343045262,11
2016,"TX","Texas",3877868,4685047,8562915,0.45286774422028,0.54713225577972,38
2016,"UT","Utah",310676,515231,825907,0.376163417915092,0.623836582084908,6
2016,"VA","Virginia",1981473,1769443,3750916,0.528263762771547,0.471736237228453,13
2016,"VT","Vermont",178573,95369,273942,0.651864263238204,0.348135736761796,3
2016,"WA","Washington",1742718,1221747,2964465,0.587869312000648,0.412130687999352,12
2016,"WI","Wisconsin",1382536,1405284,2787820,0.495920109619703,0.504079890380297,10
2016,"WV","West Virginia",188794,489371,678165,0.278389477487042,0.721610522512958,5
2016,"WY","Wyoming",55973,174419,230392,0.242946803708462,0.757053196291538,3
2016,"US","United States",65853516,62984825,128838341,0.5111329087977,0.4888670912023,538

